dagmaand;Dag;Maand;opgang;ondergang;date;Column1
03-Apr;3;4;07:09:00;20:18:00;13:09:00;0,547916667
04-Apr;4;4;07:06:00;20:19:00;13:13:00;0,550694444
05-Apr;5;4;07:04:00;20:21:00;13:17:00;0,553472222
06-Apr;6;4;07:02:00;20:23:00;13:21:00;0,55625
07-Apr;7;4;06:59:00;20:25:00;13:26:00;0,559722222
08-Apr;8;4;06:57:00;20:26:00;13:29:00;0,561805556
09-Apr;9;4;06:55:00;20:28:00;13:33:00;0,564583333
10-Apr;10;4;06:53:00;20:30:00;13:37:00;0,567361111
11-Apr;11;4;06:50:00;20:31:00;13:41:00;0,570138889
12-Apr;12;4;06:48:00;20:33:00;13:45:00;0,572916667
13-Apr;13;4;06:46:00;20:35:00;13:49:00;0,575694444
14-Apr;14;4;06:44:00;20:37:00;13:53:00;0,578472222
15-Apr;15;4;06:42:00;20:38:00;13:56:00;0,580555556
16-Apr;16;4;06:39:00;20:40:00;14:01:00;0,584027778
17-Apr;17;4;06:37:00;20:47:00;14:10:00;0,590277778
18-Apr;18;4;06:35:00;20:43:00;14:08:00;0,588888889
19-Apr;19;4;06:33:00;20:45:00;14:12:00;0,591666667
20-Apr;20;4;06:31:00;20:47:00;14:16:00;0,594444444
21-Apr;21;4;06:29:00;20:48:00;14:19:00;0,596527778
22-Apr;22;4;06:27:00;20:50:00;14:23:00;0,599305556
23-Apr;23;4;06:25:00;20:52:00;14:27:00;0,602083333
24-Apr;24;4;06:22:00;20:54:00;14:32:00;0,605555556
25-Apr;25;4;06:20:00;20:55:00;14:35:00;0,607638889
26-Apr;26;4;06:18:00;20:57:00;14:39:00;0,610416667
27-Apr;27;4;06:16:00;20:59:00;14:43:00;0,613194444
28-Apr;28;4;06:14:00;21:00:00;14:46:00;0,615277778
29-Apr;29;4;06:13:00;21:02:00;14:49:00;0,617361111
30-Apr;30;4;06:11:00;21:04:00;14:53:00;0,620138889
01-May;1;5;06:09:00;21:05:00;14:56:00;0,622222222
02-May;2;5;06:07:00;21:07:00;15:00:00;0,625
03-May;3;5;06:05:00;21:09:00;15:04:00;0,627777778
04-May;4;5;06:03:00;21:10:00;15:07:00;0,629861111
05-May;5;5;06:01:00;21:12:00;15:11:00;0,632638889
06-May;6;5;05:59:00;21:14:00;15:15:00;0,635416667
07-May;7;5;05:58:00;21:15:00;15:17:00;0,636805556
08-May;8;5;05:56:00;21:17:00;15:21:00;0,639583333
09-May;9;5;05:54:00;21:18:00;15:24:00;0,641666667
10-May;10;5;05:53:00;21:23:00;15:30:00;0,645833333
11-May;11;5;05:51:00;21:22:00;15:31:00;0,646527778
12-May;12;5;05:49:00;21:23:00;15:34:00;0,648611111
13-May;13;5;05:48:00;21:25:00;15:37:00;0,650694444
14-May;14;5;05:46:00;21:26:00;15:40:00;0,652777778
15-May;15;5;05:45:00;21:28:00;15:43:00;0,654861111
16-May;16;5;05:43:00;21:29:00;15:46:00;0,656944444
17-May;17;5;05:42:00;21:31:00;15:49:00;0,659027778
18-May;18;5;05:40:00;21:32:00;15:52:00;0,661111111
19-May;19;5;05:39:00;21:34:00;15:55:00;0,663194444
20-May;20;5;05:38:00;21:35:00;15:57:00;0,664583333
21-May;21;5;05:36:00;21:35:00;15:59:00;0,665972222
22-May;22;5;05:35:00;21:38:00;16:03:00;0,66875
23-May;23;5;05:34:00;21:39:00;16:05:00;0,670138889
24-May;24;5;05:33:00;21:41:00;16:08:00;0,672222222
25-May;25;5;05:32:00;21:42:00;16:10:00;0,673611111
26-May;26;5;05:30:00;21:43:00;16:13:00;0,675694444
27-May;27;5;05:29:00;21:45:00;16:16:00;0,677777778
28-May;28;5;05:28:00;21:46:00;16:18:00;0,679166667
29-May;29;5;05:27:00;21:47:00;16:20:00;0,680555556
30-May;30;5;05:27:00;21:48:00;16:21:00;0,68125
31-May;31;5;05:26:00;21:49:00;16:23:00;0,682638889
01-Jun;1;6;05:25:00;21:50:00;16:25:00;0,684027778
02-Jun;2;6;05:24:00;21:51:00;16:27:00;0,685416667
03-Jun;3;6;05:23:00;21:53:00;16:30:00;0,6875
04-Jun;4;6;05:23:00;21:54:00;16:31:00;0,688194444
05-Jun;5;6;05:22:00;21:54:00;16:32:00;0,688888889
06-Jun;6;6;05:22:00;21:55:00;16:33:00;0,689583333
07-Jun;7;6;05:21:00;21:56:00;16:35:00;0,690972222
08-Jun;8;6;05:21:00;21:57:00;16:36:00;0,691666667
09-Jun;9;6;05:20:00;21:58:00;16:38:00;0,693055556
10-Jun;10;6;05:20:00;21:59:00;16:39:00;0,69375
11-Jun;11;6;05:20:00;21:59:00;16:39:00;0,69375
