DT_DAY;TX_PROV_DESCR_NL
03-Apr-18;Provincie Antwerpen
06-Jul-18;Provincie Antwerpen
07-Oct-18;Provincie Antwerpen
12-Jun-18;Provincie Antwerpen
24-Mar-18;Provincie Antwerpen
05-Feb-18;Provincie Antwerpen
03-Jul-18;Provincie Antwerpen
27-Jun-18;Provincie Antwerpen
25-Jun-18;Provincie Antwerpen
28-Jan-18;Provincie Antwerpen
14-Jul-18;Provincie Antwerpen
26-Jul-18;Provincie Antwerpen
16-May-18;Provincie Antwerpen
26-May-18;Provincie Antwerpen
05-Jan-18;Provincie Antwerpen
10-Jul-18;Provincie Antwerpen
15-Jan-18;Provincie Antwerpen
01-Aug-18;Provincie Antwerpen
23-Jan-18;Provincie Antwerpen
11-Jun-18;Provincie Antwerpen
05-Sep-18;Provincie Antwerpen
18-May-18;Provincie Antwerpen
22-Jan-18;Provincie Antwerpen
27-Jun-18;Provincie Antwerpen
31-Oct-18;Provincie Antwerpen
14-Feb-18;Provincie Antwerpen
05-Mar-18;Provincie Antwerpen
28-Sep-18;Provincie Antwerpen
10-Aug-18;Provincie Antwerpen
02-Feb-18;Provincie Antwerpen
25-Apr-18;Provincie Antwerpen
13-Sep-18;Provincie Antwerpen
19-Jan-18;Provincie Antwerpen
09-Jun-18;Provincie Antwerpen
31-Jan-18;Provincie Antwerpen
25-Jun-18;Provincie Antwerpen
10-Oct-18;Provincie Antwerpen
28-Oct-18;Provincie Antwerpen
28-Mar-18;Provincie Antwerpen
07-Mar-18;Provincie Antwerpen
07-Jan-18;Provincie Antwerpen
23-Jan-18;Provincie Antwerpen
06-Sep-18;Provincie Antwerpen
14-Sep-18;Provincie Antwerpen
16-Mar-18;Provincie Antwerpen
06-Aug-18;Provincie Antwerpen
16-Sep-18;Provincie Antwerpen
23-Oct-18;Provincie Antwerpen
06-Aug-18;Provincie Antwerpen
30-Jan-18;Provincie Antwerpen
09-May-18;Provincie Antwerpen
03-May-18;Provincie Antwerpen
04-Oct-18;Provincie Antwerpen
17-Apr-18;Provincie Antwerpen
10-May-18;Provincie Antwerpen
04-Jan-18;Provincie Antwerpen
20-Sep-18;Provincie Antwerpen
11-Aug-18;Provincie Antwerpen
11-Feb-18;Provincie Antwerpen
22-Sep-18;Provincie Antwerpen
27-Sep-18;Provincie Antwerpen
22-Apr-18;Provincie Antwerpen
27-Mar-18;Provincie Antwerpen
31-Aug-18;Provincie Antwerpen
06-Jun-18;Provincie Antwerpen
09-Oct-18;Provincie Antwerpen
08-Aug-18;Provincie Antwerpen
02-Feb-18;Provincie Antwerpen
04-Aug-18;Provincie Antwerpen
31-Oct-18;Provincie Antwerpen
28-Jan-18;Provincie Antwerpen
23-Aug-18;Provincie Antwerpen
02-Feb-18;Provincie Antwerpen
31-May-18;Provincie Antwerpen
13-Jan-18;Provincie Antwerpen
05-Nov-18;Provincie Antwerpen
15-Mar-18;Provincie Antwerpen
15-Jun-18;Provincie Antwerpen
25-Sep-18;Provincie Antwerpen
25-May-18;Provincie Antwerpen
15-Jun-18;Provincie Antwerpen
06-Mar-18;Provincie Antwerpen
05-Mar-18;Provincie Antwerpen
23-Jun-18;Provincie Antwerpen
25-Feb-18;Provincie Antwerpen
05-Nov-18;Provincie Antwerpen
02-Feb-18;Provincie Antwerpen
03-Jul-18;Provincie Antwerpen
07-Mar-18;Provincie Antwerpen
07-Sep-18;Provincie Antwerpen
20-Feb-18;Provincie Antwerpen
01-Sep-18;Provincie Antwerpen
24-Aug-18;Provincie Antwerpen
18-Nov-18;Provincie Antwerpen
10-Dec-18;Provincie Antwerpen
14-Nov-18;Provincie Antwerpen
08-Nov-18;Provincie Antwerpen
27-Nov-18;Provincie Antwerpen
04-Dec-18;Provincie Antwerpen
09-Dec-18;Provincie Antwerpen
22-Nov-18;Provincie Antwerpen
29-Nov-18;Provincie Antwerpen
03-Dec-18;Provincie Antwerpen
16-Dec-18;Provincie Antwerpen
03-Dec-18;Provincie Antwerpen
07-Nov-18;Provincie Antwerpen
22-Nov-18;Provincie Antwerpen
30-Nov-18;Provincie Antwerpen
03-Dec-18;Provincie Antwerpen
30-Nov-18;Provincie Antwerpen
27-Dec-18;Provincie Antwerpen
15-Nov-18;Provincie Antwerpen
24-Dec-18;Provincie Antwerpen
15-Dec-18;Provincie Antwerpen
06-Dec-18;Provincie Antwerpen
21-Nov-18;Provincie Antwerpen
10-Dec-18;Provincie Antwerpen
05-Dec-18;Provincie Antwerpen
12-Nov-18;Provincie Antwerpen
22-Dec-18;Provincie Antwerpen
14-Dec-18;Provincie Antwerpen
03-Dec-18;Provincie Antwerpen
13-Dec-18;Provincie Antwerpen
23-Dec-18;Provincie Antwerpen
10-Nov-18;Provincie Antwerpen
14-Dec-18;Provincie Antwerpen
20-Nov-18;Provincie Antwerpen
13-Dec-18;Provincie Antwerpen
13-Dec-18;Provincie Antwerpen
10-Nov-18;Provincie Antwerpen
11-Nov-18;Provincie Antwerpen
08-Dec-18;Provincie Antwerpen
21-Nov-18;Provincie Antwerpen
19-Dec-18;Provincie Antwerpen
14-Nov-18;Provincie Antwerpen
22-Dec-18;Provincie Antwerpen
12-Dec-18;Provincie Antwerpen
13-Nov-18;Provincie Antwerpen
24-Nov-18;Provincie Antwerpen
22-Nov-18;Provincie Antwerpen
24-Nov-18;Provincie Antwerpen
10-Dec-18;Provincie Antwerpen
21-Dec-18;Provincie Antwerpen
15-Dec-18;Provincie Antwerpen
26-Nov-18;Provincie Antwerpen
19-Dec-18;Provincie Antwerpen
19-Nov-18;Provincie Antwerpen
27-Nov-18;Provincie Antwerpen
20-Nov-18;Provincie Antwerpen
15-Nov-18;Provincie Antwerpen
07-Dec-18;Provincie Antwerpen
10-Nov-18;Provincie Antwerpen
17-Dec-18;Provincie Antwerpen
19-Nov-18;Provincie Antwerpen
13-Nov-18;Provincie Antwerpen
12-Nov-18;Provincie Antwerpen
08-Nov-18;Provincie Antwerpen
12-Nov-18;Provincie Antwerpen
31-Dec-18;Provincie Antwerpen
05-Dec-18;Provincie Antwerpen
13-Dec-18;Provincie Antwerpen
09-Dec-18;Provincie Antwerpen
15-Nov-18;Provincie Antwerpen
22-Dec-18;Provincie Antwerpen
22-Dec-18;Provincie Antwerpen
02-Dec-18;Provincie Antwerpen
11-Dec-18;Provincie Antwerpen
24-Nov-18;Provincie Antwerpen
17-Dec-18;Provincie Antwerpen
11-Dec-18;Provincie Antwerpen
20-Nov-18;Provincie Antwerpen
04-Dec-18;Provincie Antwerpen
24-Nov-18;Provincie Antwerpen
30-Nov-18;Provincie Antwerpen
22-Nov-18;Provincie Antwerpen
15-Nov-18;Provincie Antwerpen
14-Nov-18;Provincie Antwerpen
05-Dec-18;Provincie Antwerpen
25-Nov-18;Provincie Antwerpen
19-Nov-18;Provincie Antwerpen
16-Nov-18;Provincie Antwerpen
07-Dec-18;Provincie Antwerpen
04-Dec-18;Provincie Antwerpen
13-Nov-18;Provincie Antwerpen
10-Nov-18;Provincie Antwerpen
13-Nov-18;Provincie Antwerpen
07-Dec-18;Provincie Antwerpen
01-Dec-18;Provincie Antwerpen
07-Dec-18;Provincie Antwerpen
07-Dec-18;Provincie Antwerpen
19-Nov-18;Provincie Antwerpen
27-Nov-18;Provincie Antwerpen
06-Dec-18;Provincie Antwerpen
26-Dec-18;Provincie Antwerpen
15-Nov-18;Provincie Antwerpen
29-Nov-18;Provincie Antwerpen
19-Nov-18;Provincie Antwerpen
04-Dec-18;Provincie Antwerpen
22-Dec-18;Provincie Antwerpen
15-Nov-18;Provincie Antwerpen
02-Dec-18;Provincie Antwerpen
18-Dec-18;Provincie Antwerpen
19-Nov-18;Provincie Antwerpen
10-Nov-18;Provincie Antwerpen
17-Nov-18;Provincie Antwerpen
18-Nov-18;Provincie Antwerpen
03-Dec-18;Provincie Antwerpen
07-Dec-18;Provincie Antwerpen
17-Nov-18;Provincie Antwerpen
20-Nov-18;Provincie Antwerpen
21-Dec-18;Provincie Antwerpen
22-Nov-18;Provincie Antwerpen
11-Nov-18;Provincie Antwerpen
28-Nov-18;Provincie Antwerpen
19-Nov-18;Provincie Antwerpen
26-Nov-18;Provincie Antwerpen
29-Dec-18;Provincie Antwerpen
31-Dec-18;Provincie Antwerpen
08-Nov-18;Provincie Antwerpen
24-Dec-18;Provincie Antwerpen
27-Nov-18;Provincie Antwerpen
15-Nov-18;Provincie Antwerpen
27-Dec-18;Provincie Antwerpen
16-Nov-18;Provincie Antwerpen
08-Nov-18;Provincie Antwerpen
13-Nov-18;Provincie Antwerpen
22-Nov-18;Provincie Antwerpen
20-Nov-18;Provincie Antwerpen
14-Dec-18;Provincie Antwerpen
21-Dec-18;Provincie Antwerpen
10-Dec-18;Provincie Antwerpen
14-Nov-18;Provincie Antwerpen
06-Dec-18;Provincie Antwerpen
21-Dec-18;Provincie Antwerpen
24-Dec-18;Provincie Antwerpen
31-Dec-18;Provincie Antwerpen
26-Dec-18;Provincie Antwerpen
27-Nov-18;Provincie Antwerpen
22-Dec-18;Provincie Antwerpen
08-Dec-18;Provincie Antwerpen
17-Dec-18;Provincie Antwerpen
18-Dec-18;Provincie Antwerpen
17-Nov-18;Provincie Antwerpen
20-Nov-18;Provincie Antwerpen
14-Nov-18;Provincie Antwerpen
08-Dec-18;Provincie Antwerpen
20-Nov-18;Provincie Antwerpen
15-Nov-18;Provincie Antwerpen
26-Dec-18;Provincie Antwerpen
17-Nov-18;Provincie Antwerpen
19-Nov-18;Provincie Antwerpen
21-Dec-18;Provincie Antwerpen
15-Nov-18;Provincie Antwerpen
16-Dec-18;Provincie Antwerpen
10-Nov-18;Provincie Antwerpen
10-Dec-18;Provincie Antwerpen
05-Dec-18;Provincie Antwerpen
22-Nov-18;Provincie Antwerpen
08-Dec-18;Provincie Antwerpen
26-Nov-18;Provincie Antwerpen
25-Dec-18;Provincie Antwerpen
30-Dec-18;Provincie Antwerpen
07-Dec-18;Provincie Antwerpen
06-Dec-18;Provincie Antwerpen
14-Dec-18;Provincie Antwerpen
07-Dec-18;Provincie Antwerpen
